name,slope_onec_neg,intercept_onec_neg,chi_onec_neg,reducedchi_onec_neg,r_onec_neg,negslopeerror_onec_neg,posslopeerror_onec_neg,neginterror_onec_neg,posinterror_onec_neg,slope_onec_pos,intercept_onec_pos,chi_onec_pos,reducedchi_onec_pos,r_onec_pos,negslopeerror_onec_pos,posslopeerror_onec_pos,neginterror_onec_pos,posinterror_onec_pos,slope_oneo_neg,intercept_oneo_neg,chi_oneo_neg,reducedchi_oneo_neg,r_oneo_neg,negslopeerror_oneo_neg,posslopeerror_oneo_neg,neginterror_oneo_neg,posinterror_oneo_neg,slope_oneo_pos,intercept_oneo_pos,chi_oneo_pos,reducedchi_oneo_pos,r_oneo_pos,negslopeerror_oneo_pos,posslopeerror_oneo_pos,neginterror_oneo_pos,posinterror_oneo_pos,slope_twoc_neg,intercept_twoc_neg,chi_twoc_neg,reducedchi_twoc_neg,r_twoc_neg,negslopeerror_twoc_neg,posslopeerror_twoc_neg,neginterror_twoc_neg,posinterror_twoc_neg,slope_twoc_pos,intercept_twoc_pos,chi_twoc_pos,reducedchi_twoc_pos,r_twoc_pos,negslopeerror_twoc_pos,posslopeerror_twoc_pos,neginterror_twoc_pos,posinterror_twoc_pos,slope_twoo_neg,intercept_twoo_neg,chi_twoo_neg,reducedchi_twoo_neg,r_twoo_neg,negslopeerror_twoo_neg,posslopeerror_twoo_neg,neginterror_twoo_neg,posinterror_twoo_neg,slope_twoo_pos,intercept_twoo_pos,chi_twoo_pos,reducedchi_twoo_pos,r_twoo_pos,negslopeerror_twoo_pos,posslopeerror_twoo_pos,neginterror_twoo_pos,posinterror_twoo_pos,slope_thrc_neg,intercept_thrc_neg,chi_thrc_neg,reducedchi_thrc_neg,r_thrc_neg,negslopeerror_thrc_neg,posslopeerror_thrc_neg,neginterror_thrc_neg,posinterror_thrc_neg,slope_thrc_pos,intercept_thrc_pos,chi_thrc_pos,reducedchi_thrc_pos,r_thrc_pos,negslopeerror_thrc_pos,posslopeerror_thrc_pos,neginterror_thrc_pos,posinterror_thrc_pos,slope_thro_neg,intercept_thro_neg,chi_thro_neg,reducedchi_thro_neg,r_thro_neg,negslopeerror_thro_neg,posslopeerror_thro_neg,neginterror_thro_neg,posinterror_thro_neg,slope_thro_pos,intercept_thro_pos,chi_thro_pos,reducedchi_thro_pos,r_thro_pos,negslopeerror_thro_pos,posslopeerror_thro_pos,neginterror_thro_pos,posinterror_thro_pos
All,0.00879868536208597,275.363604974961,5.5625050178176,1.85416833927253,-0.134575430433521,0.00445721875059049,0.0131401519735815,273.168372400781,276.363538867999,-0.000121650217811714,274.168288791562,7.96032164224543,2.65344054741514,0.306373177140505,-0.000159242202484948,-9.84170935790905e-05,272.166666768331,275.1682226846,0.110937002479186,293.707052677758,17.8857140575126,5.96190468583753,-0.13297740912114,0.0555343002660382,0.166339704692335,291.684272963678,294.706986570797,-0.0821796416589278,297.147360203831,5.90340110028199,1.96780036676066,0.086238940854012,-0.123223930729473,-0.041135353810604,295.03731599364,298.14729409687,-1.72731743146989,403.951415791952,2.99125499637118,0.997084998790393,-0.98678858044125,-1.83520022623838,-1.61943464762756,401.885536672328,404.951349684991,1.59753902940221,402.423842471453,5.16246006790591,1.7208200226353,0.983182199723738,1.49237249985123,1.70270559434448,400.427844047624,403.423776364492,-1.4863722084283,410.474887063433,9.74727927022818,3.24909309007606,-0.963361536790045,-1.58874150462473,-1.38400293535345,408.490072281909,411.474820956472,1.13131391813847,412.698379972104,10.1596599115819,3.38655330386063,0.915135802637824,1.01683218718821,1.24579565817913,410.632622442962,413.698313865142,-2.01735828432241,507.683282424661,30.1205394046282,10.0401798015427,-0.880626786067263,-2.16923682332093,-1.8654797778895,504.629939264215,508.683216374654,2.30270271735298,510.123727131575,16.4813928535918,5.49379761786392,0.937405649676709,2.13993052710218,2.4654749243922,507.02254541762,511.123661117934,-2.59137395743079,499.656964390009,7.5382395563826,2.5127465187942,-0.979060578706313,-2.7272811418737,-2.45546678130108,496.689172349242,500.656898283047,2.69942135973828,503.997944676521,6.3601986471085,2.12006621570283,0.970108781541583,2.5307217500675,2.8681210242512,500.796788390446,504.997878571598
ADRIAN_FRANCO,-0.306397148268429,287.45078354392,4.82155898364935,1.60718632788312,-0.437427138349656,-0.459559647719118,-0.153234653381345,279.473380261637,288.450717436959,0.501704189589951,297.942623797777,1.43856474339915,0.479521581133049,0.65780183109941,0.250889004733284,0.752519381920499,291.298461468764,298.942557690816,-1.53146060837032,300.837381078985,22.2168766254454,7.40562554181515,-0.691116599478101,-1.7865255474918,-1.27639580630501,295.687513230577,301.837314972024,1.84724028108243,307.129262492109,4.92097983056718,1.64032661018906,0.939325644771175,1.50723595139694,2.18724466292194,301.598430261187,308.129196385147,-4.98632552648268,404.390788652265,15.3450830030035,5.11502766766784,-0.920310768322297,-5.5686896863056,-4.40396137948368,397.194468068758,405.390722545304,2.60515570920685,414.424689696043,11.4558885962312,3.81862953207707,0.913423089583123,2.08670621527692,3.12360532947503,407.196752012793,415.424623589082,-7.47562385459829,402.921622665156,12.0112494252964,4.00374980843212,-0.977060218199778,-7.7989897495261,-7.15225798254177,396.185019431158,403.921556558195,7.25235798909046,398.574178527278,24.173421470379,8.057807156793,0.922824218673618,6.70961230523721,7.79510360649685,390.824512262042,399.574112420316,-4.20725772225022,459.521790911733,16.6912698916856,5.56375663056188,-0.851022381137269,-4.80689454982908,-3.60762100278737,449.267208008107,460.521724804772,4.7293571826073,466.206837112508,10.709890312514,3.56996343750465,0.927695691107885,3.97487003256123,5.48384452262647,455.317188616071,467.206771005547,-7.05120183148757,388.919612567028,32.121325334041,10.7071084446803,-0.929938380974679,-7.34593811797074,-6.7564656583046,383.067777399468,389.919546460066,4.61743098735859,419.21962953469,19.7807650189503,6.5935883396501,0.888446078868273,4.26628614546388,4.96857589524596,412.514291495035,420.219563427729
ARCHANA_BIJU,-1.46756262110976,168.15601972787,4.16827132944238,1.38942377648079,-0.736379713668167,-2.01077191708292,-0.924353345821996,156.731152833424,169.155953620909,0.174767061288306,170.996187643203,2.76592545288323,0.921975150961078,0.554428699194462,0.0874475947817455,0.262086527794866,158.851577278758,171.996121536242,1.05711447849477,233.118370925732,8.56312224534297,2.85437408178099,0.501143774913666,0.545117566391532,1.5691113670845,225.225026982108,234.118304818771,0.44716586260413,231.504929330979,6.33095675428883,2.11031891809628,-0.165729047184886,0.223645542031208,0.670686183177053,224.006617208307,232.504863224018,-1.35656711237314,368.922610391535,2.01844115122815,0.67281371707605,-0.84142064130668,-1.7078112186766,-1.00532305919349,361.624754134401,369.922544284574,0.661415566277326,374.176132004672,2.19305859431675,0.731019531438916,0.594059654810189,0.382869417069471,0.939961722976502,368.100778597733,375.17606589771,-1.25471003874666,404.345719334048,1.93758056758763,0.645860189195878,-0.764754361280602,-1.62394842121412,-0.885471656626215,397.809603057796,405.345653227086,-0.0312234267970008,398.632429077182,13.3269033729936,4.44230112433119,0.44435095164905,-0.0467900253853968,-0.0156568286715322,393.386687744311,399.632362970221,-0.852563408804798,496.819737165155,5.23961964865775,1.74653988288592,-0.614373533552479,-1.2788046889053,-0.426322141406281,484.184201504124,497.819671058194,0.408155511142257,516.123718902184,3.28408336767931,1.0946944558931,0.408395381167411,0.204134904196043,0.612176118088472,505.358885557267,517.123652977949,-2.2059712736019,462.961677750029,2.18696203265082,0.728987344216939,-0.873929852125197,-2.68582813757851,-1.72611441585131,453.76335761114,463.961611643068,0.603326453486119,467.401761207311,6.57388968507506,2.19129656169169,0.393248440239757,0.3017143647473,0.904938551212687,458.934081906749,468.40169510035
BRIAN_TA,0.106556984441068,288.890834617624,5.53028182424484,1.84342727474828,0.0482807072219486,0.0533416933678561,0.159772275514281,283.35615312634,289.890768510662,0.0977910774101816,307.634390678461,1.55802401906887,0.519341339689623,-0.130082750372646,0.0489535406119821,0.146628614208381,301.681782946105,308.6343245715,0.286072907974724,317.601078109315,3.52332818792886,1.17444272930962,0.267853943628079,0.143101264355895,0.429044551593552,312.007195402353,318.601012002354,0.235595285709689,322.624899580391,4.34649937996227,1.44883312665409,0.476469330338782,0.117850669626735,0.353339905300713,317.510080682444,323.62483347343,-2.22558165148608,441.472552449513,4.88296995990287,1.62765665330096,-0.651612260738663,-2.65037024629339,-1.8007930997029,434.540120591251,442.472486342551,1.43798384403984,437.359624390279,0.614688693562909,0.204896231187636,0.942456598862064,1.00818869643279,1.86777900779225,430.821655816985,438.359558283318,-1.14432285799041,445.627437686785,4.35139196974859,1.4504639899162,-0.809815452453747,-1.55263865994381,-0.736007176276492,437.605352121365,446.627371579823,1.18132704962734,447.837511170382,2.08328051314971,0.69442683771657,0.902880713350611,0.963544735048272,1.39910931954718,442.628141013811,448.837445063421,-2.1504226283883,509.741771923786,2.77462902908766,0.924876343029219,-0.817493281840317,-2.56497111509366,-1.73587418361639,501.418891019906,510.741705904453,3.53890640700709,492.52220418488,4.29537365969369,1.4317912198979,0.973098861910826,3.1539408272671,3.9238721976951,485.357843995199,493.522138077919,-2.33878544006964,521.447138774141,0.775791520646561,0.258597173548854,-0.971095774073703,-2.79751866038367,-1.8800525248623,512.808744553408,522.447072929232,4.57876180999307,524.026770617649,3.64521558325077,1.21507186108359,0.948711216082815,4.04377321432921,5.11375022925779,514.729484166522,525.026704811179
CHRISTINA_HONORE,-1.3214260783794,294.11691300608,6.57457324243561,2.1915244141452,-0.379778155822029,-1.54715903344089,-1.09569312716341,287.533492696636,295.116846899119,0.854327059391658,297.807303635171,2.12730389911648,0.709101299705492,0.61779065422252,0.589392182032833,1.11926196423395,291.624370902532,298.80723752821,-0.688889196752626,333.164969658412,2.61497076653319,0.871656922177728,-0.862466369424737,-1.02547308498526,-0.352305396332066,329.063907053284,334.164903551451,0.246473350717486,340.004183820353,2.75023140465841,0.916743801552804,0.135784062844139,0.123292514371276,0.369654187063696,335.653218325638,341.004117713392,-1.2572484761624,448.480143844275,3.95098633389905,1.31699544463302,-0.836079488755805,-1.59417292462857,-0.9203240764265,442.383541012953,449.480077737314,0.999293406907322,446.51797208939,11.2031107488879,3.73437024962932,0.798429496255769,0.805242800068123,1.19334401650627,441.839798379903,447.517905982429,-0.917469949639573,456.381209351676,0.645303154605897,0.215101051535299,-0.904450483506383,-1.18640968968586,-0.64853024469483,450.336603022198,457.381143244715,0.542177537449997,463.417653333817,9.08404722238143,3.02801574079381,0.306926105497481,0.273965457575839,0.81038962413584,457.665693839492,464.417587226855,-1.76776486886633,539.677421971808,7.64319871640553,2.54773290546851,-0.786860932954943,-2.0793583333796,-1.4561714108099,533.172870610502,540.677356398551,1.38738737450427,555.185045701421,1.43163811802757,0.47721270600919,0.842013380386226,0.947706352595634,1.8270683843961,546.197292508227,556.184980359245,-1.43493738018771,549.950055055927,5.8426797326949,1.9475599108983,-0.737019366829434,-1.72036554279828,-1.14950922963624,542.316102613687,550.949989635744,2.21850937657671,546.759869957919,2.61265131121484,0.870883770404947,0.876527545545217,1.76429216066242,2.67272662479591,538.691662175694,547.759804490199
CINDY_TA,0.92533578907546,293.311719862088,6.85452710574901,2.284842368583,0.818732670817115,0.783506636423953,1.06716493767923,290.483779445671,294.311653755127,-0.40845377697014,295.449700636605,6.72941203314204,2.24313734438068,-0.350587535026081,-0.523097606691539,-0.293809956993635,292.254574642772,296.449634529644,0.894295590928479,318.038829830521,10.6176974932666,3.53923249775554,0.637058213925132,0.715988209941099,1.07260296559507,313.890238334561,319.03876372356,-0.379971911179465,323.065073954273,10.88585851928,3.62861950642668,-0.328368492186208,-0.536026935827875,-0.223916895777133,318.988100284504,324.065007847312,-2.48254348897686,411.684470406507,4.09754036751392,1.36584678917131,-0.92214956667617,-2.77780294451461,-2.18728406246669,405.635513141403,412.684404299545,3.26572062763316,409.617897675264,15.42278855487,5.14092951828999,0.787284262038398,2.82290796527014,3.70853318949374,402.977843961606,410.617831568302,-1.01515446027176,433.235161692402,4.47343702154557,1.49114567384852,-0.730503732392178,-1.27078850178409,-0.759520382424806,426.735412851666,434.235095585441,1.42061328454671,429.583443866351,19.7834470683047,6.59448235610157,0.780681577121898,1.09664635406909,1.74458020745309,423.356192824684,430.583377759389,-1.03729561844293,533.574733486337,0.472306323127393,0.157435441042464,-0.889578316234477,-1.42078198253874,-0.653809259150074,526.026681263317,534.574667822142,2.31342126674392,529.426623493875,2.91326461323404,0.971088204411348,0.890378138574913,1.89491674307208,2.7319258006301,521.327364343313,530.426557767869,-2.09877208474388,498.744658829903,9.80205454125388,3.26735151375129,-0.751710100010353,-2.69244073102679,-1.50510347789352,488.604460626286,499.744592722942,3.49038485074481,519.382291676496,1.48649158385851,0.495497194619502,0.949769092533961,2.98718333287463,3.99358640570206,508.93002798139,520.382225800818
DELILAH_PINEDA,0.201363671062373,261.712933498565,1.76810047219359,0.589366824064531,0.158461139361088,0.100722314319216,0.302005030803883,255.4273246947,262.712867391604,0.305687001417088,254.58544819756,3.44700384862577,1.14900128287526,0.552175860021629,0.15287941907583,0.458494588311374,250.365718581091,255.585382090598,-0.596613514711679,233.293107787438,17.5651309546164,5.8550436515388,0.0624457413469137,-0.693429059289549,-0.499797981757175,230.930079051263,234.293041680477,-0.522265664153753,261.021619960263,4.02052160989478,1.34017386996493,-0.864835405494397,-0.655318080003642,-0.389213242679836,257.302052951076,262.021553853302,-2.56622728297688,382.974170670084,1.835972369466,0.611990789821999,-0.983317312603335,-2.80144269244592,-2.3310119075087,378.140100630865,383.974104563123,1.3116727076806,382.140411157701,2.7780797749164,0.926026591638801,0.928753007674075,1.09463681944666,1.52870866525607,377.601810035778,383.14034505074,-1.48770027825892,389.053179748282,9.86149732642933,3.28716577547644,-0.832245784769112,-1.75954484524922,-1.21585579630657,384.436690615914,390.053113641321,0.141496489203053,391.181339485175,3.96044316992672,1.32014772330891,0.484029642580328,0.0707988347016276,0.212194145810439,386.835132043019,392.181273378214,-2.99531059585821,456.59714364596,8.89440163737177,2.96480054579059,-0.907844015126693,-3.3474825930332,-2.64313865753612,450.067299679116,457.597077538999,1.76453006826797,456.326922241679,1.16616550277781,0.388721834259269,0.944356087879237,1.20409601664542,2.32496408122637,448.535087126601,457.326856134718,-3.06176777070833,459.841654625956,4.50768526389581,1.50256175463194,-0.972911902629398,-3.34789492229088,-2.77564064245946,453.807235866946,460.841588518995,2.07348868014809,472.865212936917,8.86899321120415,2.95633107040138,0.845682958554453,1.77812763746631,2.36884980172444,466.265775824194,473.865146829956
IVY_TA,0.474752833232688,277.844458649014,18.2617471266442,6.08724904221472,0.114032498549331,0.342049719499589,0.607455957914197,274.065104446927,278.844392542053,-0.139149801581238,278.972799667691,10.215000358374,3.40500011945802,-0.258190076626681,-0.20867550619416,-0.0696240990393494,275.656684262497,279.97273356073,0.157847231715334,291.969828613623,14.6722772823898,4.89075909412993,-0.108744676298194,0.0789814777150253,0.236712985715642,287.539960274319,292.969762506662,-0.209698595023921,278.897500969125,22.6961231868645,7.5653743956215,-0.303448288127692,-0.314504361610068,-0.104892831560235,275.377958619942,279.897434862164,-1.61074779910403,389.924797746763,4.23647206820673,1.41215735606891,-0.833580380904422,-1.92093158905557,-1.30056405301006,384.867346811411,390.924731639802,3.11776071191088,387.200068213032,2.14548331391078,0.715161104636927,0.962280133044652,2.72366051141513,3.51186084408433,382.078957031537,388.200002106071,-2.49512384245561,396.023669997683,0.646747285368283,0.215582428456094,-0.993189992976119,-2.7344211914066,-2.25582655873982,390.963616129788,397.023603890722,2.75408817721746,402.827526700911,2.50974931954486,0.836583106514954,0.944954763000579,2.48158404236522,3.02659235136479,396.896693365069,403.82746059395,-1.87662561486328,514.296884537401,7.22708016491674,2.40902672163891,-0.772409279352129,-2.33232002608864,-1.42093140752082,503.712789700771,515.296818585944,2.61211994233873,506.629518471016,7.01811385726865,2.33937128575622,0.865650477354886,2.15218065306564,3.07205936990277,496.878567555467,507.629452405306,-3.19716649478123,491.960749622024,2.92855124967373,0.976183749891244,-0.908056702068377,-3.73434100932779,-2.65999204018436,480.798357692436,492.960683515062,4.74200820468194,498.250494795094,2.47803985634892,0.826013285449641,0.959005434494531,4.0713730561557,5.41264339133568,486.988837503091,499.250428688132
JARED_KHOO,0.955980297438368,244.52385683476,2.63879592471191,0.879598641570638,0.861608144343303,0.728443982207373,1.18351663172641,239.900002961509,245.523790727798,0.113621177856728,236.46183178166,10.4178791722562,3.47262639075207,0.300354660176147,0.0568446458137585,0.170397711590777,232.749372453226,237.461765674699,-0.0799104033828653,261.860091332949,8.10146741828382,2.70048913942794,-0.0417606948456987,-0.119822251028526,-0.0399985569256773,258.689877567996,262.860025225988,-0.622475727643929,268.270688768944,3.51454595233111,1.1715153174437,-0.460950145769422,-0.787463759900354,-0.457487689510676,265.164640110761,269.270622661982,-1.35241025630191,343.755047200346,1.54917427013617,0.516391423378723,-0.92784341954383,-1.71861451853115,-0.986205967204712,338.092010660153,344.754981093384,3.42265110316062,348.308249883682,1.88713654336114,0.629045514453714,0.976638486901077,3.01586286529519,3.82943941151302,342.716333862959,349.308183776721,-1.70852560580675,351.57134991319,0.804918906141378,0.268306302047126,-0.960093372782362,-1.94842300249014,-1.46862822614664,346.560200223589,352.571283806228,1.02333349837244,347.318313485236,5.45995752866657,1.81998584288886,0.859665023375675,0.782535041999971,1.26413197135197,342.475225410184,348.318247378275,-1.76168308018591,444.510871585195,2.54284346143995,0.847614487146651,-0.845399487366629,-2.14486114341125,-1.37850505995812,434.95876973703,445.510805478234,2.31219624189356,451.605677302301,0.275408518707583,0.0918028395691943,0.990013173791741,2.02981357021283,2.59457894376916,443.77392238006,452.60561119534,-3.0942232613487,433.696931391231,3.59862699499095,1.19954233166365,-0.918075617210225,-3.45956047938281,-2.7288860785507,424.974532603254,434.69686528427,2.40517672312425,437.282113323483,0.435340660166405,0.145113553388802,0.980531619426836,1.82459721211633,2.98575618907742,428.429556722932,438.282047216522
KI_WOONG_YOON,-0.355772796592982,256.860545881694,2.31870186334353,0.772900621114509,-0.0370339374599199,-0.533611935161144,-0.177933663323847,245.982124159952,257.860479774732,-0.318233270961803,255.550963032051,2.54112485187823,0.847041617292742,-0.0613396979588334,-0.477311150527294,-0.159155396136209,243.597274916894,256.55089692509,1.05150143289464,296.451072100105,2.30962886408621,0.769876288028738,0.66536475853564,0.525806952484376,1.57719591330491,284.165721245267,297.451005993143,-0.220027326771575,283.697708238566,0.885879210588813,0.295293070196271,-0.279161114364623,-0.329993673272404,-0.110060983547005,270.098778782719,284.697642131604,-1.47230505844052,392.9609387488,0.921288760687791,0.307096253562597,-0.933197493044899,-1.81657154611039,-1.12803860173259,386.566445087645,393.960872641839,2.03288110952822,389.952284962559,0.133600411116101,0.0445334703720338,0.991983712979339,1.59968662152458,2.46607575313461,383.155448213225,390.952218855598,-1.91759672118045,408.669819694181,3.62908596664568,1.20969532221523,-0.943240011184125,-2.27055605467348,-1.56463734594984,402.16174924358,409.66975358722,2.06225205209206,416.650340964928,4.24581769387657,1.41527256462552,0.855063162082909,1.65387924022031,2.4706249449072,409.757245040223,417.650274857967,-2.85985670549131,508.317081587269,2.37411232527669,0.79137077509223,-0.879929331963446,-3.52987659093639,-2.18983675385122,495.1601791006,509.317015546706,2.88146283870587,518.013054553163,1.82841363942702,0.609471213142339,0.890915864339161,2.0716877323386,3.69123801109087,504.368179829139,519.012988657082,-2.17366010802839,526.2677983037,1.60903444606419,0.536344815354731,-0.752477987504262,-2.83042986810842,-1.51689032816511,511.587446852307,527.267732530623,2.81276236972205,526.27728043952,0.428864751789535,0.142954917263178,0.962179738495657,2.07879185435816,3.54673291750256,510.910427998786,527.277214666585
